,시장구분,종목코드,종목명,산업분류,현재가.종가.,전일대비,시가총액.원.,일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,게시물..일련번호,총카운트
299,코스피,1440,대한전선,전기전자,625,40,5.35E+11,2019-10-30,-,625,-,-,356,1.76,0,0,1447,NA
300,코스피,640,동아쏘시오홀딩스,금융업,87200,1500,5.35E+11,2019-10-30,-,87200,-,-,"119,609",0.73,1000,1.15,1398,NA
301,코스피,336370,두산솔루스,전기전자,17550,1150,5.35E+11,2019-10-30,-,17550,-,-,-,-,NA,NA,2246,NA
302,코스닥,213420,덕산네오룩스,IT H/W,22100,-1100,5.31E+11,2019-10-30,-,22100,784,28.19,"5,870",3.76,0,0,1108,NA
303,코스피,298000,효성화학,화학,165500,-2500,5.28E+11,2019-10-30,-,165500,"6,412",25.81,"115,120",1.44,1000,0.6,2234,NA
304,코스피,19680,대교,서비스업,6230,-60,5.28E+11,2019-10-30,-,6230,205,30.39,"5,884",1.06,210,3.37,1906,NA
305,코스피,108670,LG하우시스,화학,58600,-1100,5.26E+11,2019-10-30,-,58600,-,-,"91,675",0.64,250,0.43,2135,NA
306,코스피,1820,삼화콘덴서,전기전자,50200,-700,5.22E+11,2019-10-30,-,50200,"6,023",8.33,"12,163",4.13,300,0.6,1479,NA
307,코스닥,31390,녹십자셀,제약,43500,-500,5.21E+11,2019-10-30,-,43500,"1,189",36.59,"5,661",7.68,100,0.23,174,NA
308,코스닥,151910,나노스,IT H/W,4665,-165,5.19E+11,2019-10-30,-,4665,-,-,264,17.67,0,0,994,NA
309,코스피,1720,신영증권,금융업,55100,900,5.17E+11,2019-10-30,-,55100,"8,185",6.73,"70,095",0.79,2750,4.99,1467,NA
310,코스닥,200230,텔콘RF제약,IT H/W,6230,-120,5.17E+11,2019-10-30,-,6230,-,-,"1,871",3.33,0,0,1076,NA
311,코스피,5690,파미셀,의약품,8600,-140,5.16E+11,2019-10-30,-,8600,-,-,792,10.86,0,0,1654,NA
312,코스피,298050,효성첨단소재,화학,115000,-4000,5.15E+11,2019-10-30,-,115000,-,-,"86,118",1.34,0,0,2237,NA
313,코스피,3470,유안타증권,금융업,2580,-30,5.15E+11,2019-10-30,-,2580,509,5.07,"5,598",0.46,0,0,1551,NA
314,코스닥,23890,한국아트라스비엑스,IT H/W,56000,-300,5.12E+11,2019-10-30,-,56000,"13,137",4.26,"34,300",1.63,400,0.71,127,NA
315,코스닥,78160,메디포스트,제약,32300,250,5.04E+11,2019-10-30,-,32300,-,-,"8,124",3.98,0,0,648,NA
